Volatility 3 Framework 2.4.1

Offset	Name	Size
0x7d6ed380	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2	216
0x7d6ed850	\Users\Rick\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\0DA515F703BB9B49479E8697ADB0B955_7DC3E633EDFAEFC3AA3C99552548EC2F	216
0x7d6ff070	\Windows\System32\spool\drivers\color\sRGB Color Space Profile.icm	216
0x7d7004f0	\elineoutwave	216
0x7d700640	\Users\Rick\AppData\Local\Google\Chrome\User Data\Subresource Filter\Indexed Rules\20\7.54\Ruleset Data	216
0x7d700b20	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d7015e0	\mojo.4076.3192.8931089119637672273	216
0x7d712f20	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d717950	\Windows\System32\wfp\wfpdiag.etl	216
0x7d71b610	\Users\Rick\AppData\Local\Google\Chrome\User Data\Default\Extension Rules\LOCK	216
0x7d71bd10	\Users\Rick\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned	216
0x7d7272a0	\ProgramData\Lavasoft\Web Companion\Options\partner.txt	216
0x7d731900	\ProgramData\Lavasoft\Web Companion\Options\LatestReleaseNotes.txt	216
0x7d748a00	\Windows\winsxs\Manifests\amd64_microsoft.windows.c..-controls.resources_6595b64144ccf1df_5.82.7600.16385_en-us_ba5641d1849f93bc.manifest	216
0x7d749420	\crashpad_4076_DAXLEIZKCFCTZZUS	216
0x7d74c2d0	\Users\Rick\Desktop	216
0x7d74dd30	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2	216
0x7d757490	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ICM-Package~31bf3856ad364e35~amd64~~6.1.7601.17514.cat	216
0x7d757810	\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4940_none_d08cc06a442b34fc	216
0x7d758d10	\ProgramData\Microsoft\Windows Defender\IMpService925A3ACA-C353-458A-AC8D-A7E5EB378092.lock	216
0x7d762f20	\Users\Rick\AppData\Roaming\Microsoft\Crypto\RSA\S-1-5-21-1923827501-2510115606-422599235-1000\f84702e000b768c3eb589cfdb38d4468_8349e3fe-e027-4c9a-a69b-4865c51e6cb4	216
0x7d764f20	\Windows\System32\catroot2\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\catdb	216
0x7d765730	\Windows\winsxs\Manifests\amd64_microsoft.windows.isolationautomation_6595b64144ccf1df_1.0.0.0_none_ee2620cf57bc84de.manifest	216
0x7d767dd0	\mojo.4076.3192.12275038428152206149	216
0x7d76b6f0	\Users\Rick\AppData\Local\Google\Chrome\User Data\Default\Login Data	216
0x7d76d580	\Users\Rick\AppData\Local\Google\Chrome\User Data\Default\Cache\f_000178	216
0x7d76d6d0	\Windows\System32\LogFiles\Scm\a6526975-348b-4fcf-83f9-3e139795156a	216
0x7d7766d0	\Users\Rick\AppData\Roaming\Microsoft\Windows\Network Shortcuts	216
0x7d7768e0	\Users\Rick\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\6CYX5H6R\index[2].htm	216
0x7d7adb50	\Torrents\Rick and Morty - Season 3 (2017) [1080p]\Rick.and.Morty.S03E06.Rest.and.Ricklaxation.1080p.Amazon.WEB-DL.x264-Rapta.mkv	216
0x7d7b2820	\Windows\System32\config\systemprofile\AppData\Roaming\Microsoft\SystemCertificates\My	216
0x7d7bea20	\Users\Rick\AppData\Roaming\Microsoft\Windows\Start Menu	216
0x7d7bf640	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d7c1730	\Torrents	216
0x7d7c2bb0	\Nexon\MapleStory	216
0x7d7c3d00	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Foundation-Package~31bf3856ad364e35~amd64~~6.1.7601.17514.cat	216
0x7d7c3e60	\Windows\SysWOW64\config\systemprofile\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\C46E7B0F942663A1EDC8D9D6D7869173_6043FC604A395E1485AF7AC16D16B7CE	216
0x7d7c48a0	\Windows\System32\catroot2\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\catdb	216
0x7d7c4c70	\	216
0x7d7c4f20	\Users\Rick\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\DA97XR9O\index[1].htm	216
0x7d7c5690	\Windows\System32\catroot2\{127D0A1D-4EF2-11D1-8608-00C04FC295EE}\catdb	216
0x7d7c62f0	\Windows\System32\catroot2\{127D0A1D-4EF2-11D1-8608-00C04FC295EE}\catdb	216
0x7d7c92f0	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af	216
0x7d7dca00	\Windows	216
0x7d7dfd50	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d7f8320	\Program Files (x86)\Google\Chrome\Application\68.0.3440.84\natives_blob.bin	216
0x7d7f9070	\Users\Rick\AppData\Local\Temp\RarSFX0	216
0x7d7f98c0	\Users\Rick\Desktop	216
0x7d7faf20	\Users\Rick\AppData\Roaming\Microsoft\Windows\Cookies\rick@localhost[2].txt	216
0x7d7fd910	\Windows\Fonts\simsun.ttc	216
0x7d8084c0	\Windows\Fonts\msgothic.ttc	216
0x7d8186a0	\System Volume Information\Syscache.hve.LOG1	216
0x7d81b700	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d82a920	\Users\Rick\AppData\Local\Google\Chrome\User Data\Default\Network Action Predictor-journal	216
0x7d82e800	\Windows\assembly\GAC_32\mscorlib\2.0.0.0__b77a5c561934e089\sortkey.nlp	216
0x7d82f340	\Windows\AppPatch\sysmain.sdb	216
0x7d835990	\Windows\winsxs\Manifests\x86_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.7600.16385_en-us_581cd2bf5825dde9.manifest	216
0x7d8361c0	\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4940_none_d08cc06a442b34fc	216
0x7d837f20	\SystemRoot\System32\Config\TxR\{016888cc-6c6f-11de-8d1d-001e0bcde3ec}.TxR	216
0x7d84c780	\srvsvc	216
0x7d8557b0	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d857a80	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d861070	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d862460	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af	216
0x7d862850	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d864250	\Users\Public\Desktop\desktop.ini	216
0x7d8646d0	\Users\Rick\AppData\Local\Microsoft\Windows\Caches\cversions.1.db	216
0x7d865380	\Windows\Microsoft.NET\Framework\v2.0.50727\CONFIG\security.config.cch	216
0x7d865b00	\Windows\Microsoft.NET\Framework\v2.0.50727\CONFIG\enterprisesec.config.cch	216
0x7d8813c0	\Users\Rick\Downloads\Rick And Morty season 1 download.exe.torrent	216
0x7d8876d0	\Windows\System32\PerfStringBackup.INI	216
0x7d88aad0	\Users\Rick\AppData\Local\Microsoft\Windows\Caches\{AFBF9F1A-8EE8-4C77-AF34-C647E37CA0D9}.1.ver0x0000000000000005.db	216
0x7d8a9070	\Users\Rick\Desktop\desktop.ini	216
0x7d8a9310	\Users\Public\desktop.ini	216
0x7d8ab070	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d8ac800	\Users\Public\Desktop	216
0x7d8ac950	\Users\Public\Desktop	216
0x7d8ad160	\Users\Rick\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\desktop.ini	216
0x7d8afba0	\Program Files (x86)\desktop.ini	216
0x7d8b0660	\Windows	216
0x7d8b1e60	\ProgramData\Microsoft\Windows\Start Menu\desktop.ini	216
0x7d8b2070	\Users\Rick\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Google Chrome.lnk	216
0x7d8b28e0	\Program Files\VMware\VMware Tools\suspend-vm-default.bat	216
0x7d8b5340	\Users\Rick\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\desktop.ini	216
0x7d8b6070	\Windows\winsxs\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_72d18a4386696c80	216
0x7d8b83a0	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d8b99f0	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d8c0d10	\Windows\winsxs\Manifests\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4940_none_d08cc06a442b34fc.manifest	216
0x7d8c26b0	\ProgramData\Microsoft\Windows\Start Menu	216
0x7d8c2c30	\mojo.4076.4080.17218098848627920696	216
0x7d8c3f20	\ProgramData\Microsoft\Windows\Start Menu	216
0x7d8c5860	\Windows\winsxs\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_08e61857a83bc251	216
0x7d8c65f0	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d8c6a70	\Windows\winsxs\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_08e61857a83bc251	216
0x7d8c7cb0	\Users\Rick\AppData\Local\Microsoft\Windows\Explorer\thumbcache_1024.db	216
0x7d8d0170	\Windows\winsxs\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_08e61857a83bc251	216
0x7d8d0560	\Windows\winsxs\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_08e61857a83bc251	216
0x7d8d0c80	\Windows\winsxs\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_08e61857a83bc251	216
0x7d8d0f20	\Windows\winsxs\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_08e61857a83bc251	216
0x7d8d1dd0	\Windows\winsxs\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_08e61857a83bc251	216
0x7d8d2450	\Users\Rick\Pictures\desktop.ini	216
0x7d8d6b30	\Windows\SysWOW64\config\systemprofile\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\1BA79029EC3FFD076F5DAC2F70A18685	216
0x7d8d7450	\Windows\winsxs\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_08e61857a83bc251	216
0x7d8d76f0	\Windows\winsxs\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_08e61857a83bc251	216
0x7d8d7dd0	\Windows\winsxs\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_08e61857a83bc251	216
0x7d8d7f20	\Users\Rick\Searches\desktop.ini	216
0x7d8d8560	\Users\Rick\Videos\desktop.ini	216
0x7d8d86b0	\Users\Rick\Contacts\desktop.ini	216
0x7d8d8800	\Windows\winsxs\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_08e61857a83bc251	216
0x7d8d8d40	\ProgramData\Microsoft\Windows\Caches\{40FC8D7D-05ED-4FEB-B03B-6C100659EF5C}.2.ver0x0000000000000001.db	216
0x7d8d9070	\Windows\winsxs\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_08e61857a83bc251	216
0x7d8dae80	\Windows\inf\WmiApRpl\0009\WmiApRpl.ini	216
0x7d8db810	\Users\Rick\AppData\Local\Google\Chrome\User Data\Default\Cache\f_000129	216
0x7d8de310	\Windows\winsxs\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_08e61857a83bc251	216
0x7d8df070	\Users\Rick\Favorites\desktop.ini	216
0x7d8e0cc0	\Users\Rick\AppData\Roaming\BitTorrent\dlimagecache\165F6EF40A81DD175FFAEA69E77ABFD30B27E71C	216
0x7d8e1300	\Windows\winsxs\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_08e61857a83bc251	216
0x7d8e24f0	\Users\Public\Documents\desktop.ini	216
0x7d8e2d10	\Program Files (x86)\Google\Chrome\Application\68.0.3440.84	216
0x7d8e3070	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d8e4c80	\Users\Rick\Documents\desktop.ini	216
0x7d8e52d0	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010005.ci	216
0x7d8e5420	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010005.wid	216
0x7d8e63f0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Features-Package~31bf3856ad364e35~amd64~~6.1.7601.17514.cat	216
0x7d8e8070	\Users\Rick\Music\desktop.ini	216
0x7d8e8c50	\Users\Rick\Downloads\desktop.ini	216
0x7d8e9070	\Windows\winsxs\Manifests\x86_policy.8.0.microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4940_none_516d712b0f495a45.manifest	216
0x7d8e94c0	\Users\Rick\Saved Games\desktop.ini	216
0x7d8e98e0	\Windows\winsxs\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_08e61857a83bc251	216
0x7d8e9b80	\Users\Rick\Links\desktop.ini	216
0x7d8ee920	\Users\Rick\AppData\Local\Microsoft\Windows\Explorer\thumbcache_256.db	216
0x7d8eea70	\Users\Rick\AppData\Local\Microsoft\Windows\Explorer\thumbcache_32.db	216
0x7d8eebc0	\Users\Rick\AppData\Local\Microsoft\Windows\Explorer\thumbcache_idx.db	216
0x7d8ef820	\Windows	216
0x7d8f0070	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2	216
0x7d8f09b0	\Users\Rick\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db	216
0x7d8f9490	\Users\Rick\AppData\Local\Microsoft\Windows\Explorer\thumbcache_sr.db	216
0x7d8f9770	\Users\Rick\AppData\Local\Microsoft\Windows\Explorer\thumbcache_1024.db	216
0x7d8fb410	\mojo.4076.3192.11761637087160215477	216
0x7d8fb570	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_a4d6a923711520a9	216
0x7d8fcf20	\Windows\winsxs\amd64_microsoft.vc90.mfc_1fc8b3b9a1e18e3b_9.0.30729.6161_none_044aad0bab1eb146	216
0x7d8fe700	\Windows\winsxs\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_08e61857a83bc251	216
0x7d901070	\Users\Rick\AppData\Local\Temp\RarSFX0	216
0x7d902f20	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d9034e0	\Users\Rick\AppData\Roaming\Microsoft\CLR Security Config\v2.0.50727.312\security.config.cch	216
0x7d9058f0	\Windows\Microsoft.NET\Framework\v2.0.50727\CONFIG\machine.config	216
0x7d906c00	\Users\Rick\AppData\Roaming\Microsoft\Windows\Recent	216
0x7d9aa070	\Users\Rick\AppData\Local\Google\Chrome\User Data\Safe Browsing Cookies	216
0x7d9bddd0	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d9bf5f0	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7d9e31d0	\Users\Rick\AppData\Local\Microsoft\Windows\Burn	216
0x7d9e7610	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\PropMap\CiPT0000.000	216
0x7d9eb5d0	\mojo.4076.3192.7404302124319217711	216
0x7da82520	\Windows\assembly\GAC_64\mscorlib\2.0.0.0__b77a5c561934e089\sorttbls.nlp	216
0x7da8a710	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010002.ci	216
0x7da8ef20	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2	216
0x7daa0070	\crashpad_4076_DAXLEIZKCFCTZZUS	216
0x7daa7530	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7daad590	\Windows\winsxs\Manifests\amd64_microsoft.windows.i..utomation.proxystub_6595b64144ccf1df_1.0.7600.16385_none_556753b6a456f932.manifest	216
0x7daadd90	\Windows\Microsoft.NET\Framework64\v2.0.50727\CONFIG\enterprisesec.config.cch	216
0x7dab1b60	\Windows\Microsoft.NET\Framework64\v2.0.50727\CONFIG\security.config.cch	216
0x7dab2c80	\Users\Rick\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\1b4dd67f29cb1962.automaticDestinations-ms	216
0x7dab4130	\Users\Rick\AppData\Local\Google\Chrome\User Data\Default\Cache\f_000026	216
0x7dab49c0	\Windows\winsxs\Manifests\amd64_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_a4d6a923711520a9.manifest	216
0x7dab5990	\mojo.4076.3192.17194228384398903622	216
0x7dab87d0	\Users\Rick\AppData\Local\Google\Chrome\User Data\Default\Cache\f_000005	216
0x7dab8dd0	\Users\Rick\AppData\Roaming\BitTorrent\resume.dat.old	216
0x7dac6f20	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7dac7410	\Users\Rick\AppData\Local\Google\Chrome\User Data\Default\History-journal	216
0x7dac9d10	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7dad2c80	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac	216
0x7dae9350	\Users\Rick\AppData\Roaming\BitTorrent\Rick And Morty season 1 download.exe.1.torrent	216
0x7daf1cd0	\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4940_none_d08cc06a442b34fc	216
0x7dafa2b0	\Users\Rick\AppData\LocalLow\Microsoft\CryptnetUrlCache\Content\B398B80134F72209547439DB21AB308D_9487BC0D4381A7CDEB9A8CC43F66D27C	216
0x7dafef20	\Users\Rick\AppData\Local\Google\Chrome\User Data\Default\Cache\f_000108	216
0x7db026b0	\mojo.4076.4080.17218098848627920696	216
0x7db071f0	\Users\Rick\AppData\Local\Microsoft\Windows\UsrClass.dat{c29cbaa1-669a-11e8-8fb0-001a7dda7111}.TMContainer00000000000000000002.regtrans-ms	216
0x7db077e0	\Device\HarddiskVolume1\Users\Rick\AppData\Local\Microsoft\Windows\UsrClass.dat{c29cbaa1-669a-11e8-8fb0-001a7dda7111}.TM	216
0x7db07b50	\Users\Rick\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG1	216
0x7db088b0	\Users\Rick\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG2	216
0x7db155d0	\Users\Rick\AppData\Local\Google\Chrome\User Data\Default\Cache\f_000135	216
0x7db7c4d0	\Windows\winsxs\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_2b24536c71ed437a	216
0x7db7cc80	\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_a4d6a923711520a9	216
0x7db83380	\Windows\winsxs\amd64_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4940_none_88df89932faf0bf6	216
0x7db90800	\Windows\System32\drivers\bthpan.sys	216
0x7db9a420	\$ConvertToNonresident	216
0x7db9cb60	\Windows\Microsoft.NET\Framework64\v4.0.30319\Config\machine.config	216
0x7dba1f20	\Windows\System32\drivers\hdaudbus.sys	216
0x7dba46c0	\Windows\System32\drivers\portcls.sys	216
0x7dba4810	\Windows\System32\drivers\monitor.sys	216
0x7dba4dd0	\Windows\System32\drivers\intelppm.sys	216
